"annotation_id","annotator","choice","created_at","id","image","lead_time","updated_at"

21,"1","No Trucks","2025-01-26T15:48:06.890334Z",14420,"/data/upload/2/a7eac0cf-img_220.jpg",558.872,"2025-01-26T15:48:06.890376Z"

23,"1","No Trucks","2025-01-26T15:48:40.026539Z",14422,"/data/upload/2/587b686d-img_221.jpg",12.98,"2025-01-26T15:48:40.026599Z"

22,"1","Trucks","2025-01-26T15:48:26.235393Z",14421,"/data/upload/2/ffa3d24f-img_222.jpg",18.443,"2025-01-26T15:48:26.235430Z"

24,"1","No Trucks","2025-01-26T15:49:01.406271Z",14423,"/data/upload/2/8ef084a8-img_223.jpg",20.613,"2025-01-26T15:49:01.406308Z"

25,"1","No Trucks","2025-01-26T15:49:05.916851Z",14424,"/data/upload/2/8ef0dba0-img_224.jpg",3.692,"2025-01-26T15:49:05.916891Z"

33,"1","No Trucks","2025-01-26T15:50:54.172219Z",14432,"/data/upload/2/bc4db1bd-img_225.jpg",3.657,"2025-01-26T15:50:54.172254Z"

26,"1","No Trucks","2025-01-26T15:49:11.658351Z",14425,"/data/upload/2/a367dde2-img_226.jpg",4.91,"2025-01-26T15:49:11.658385Z"

34,"1","Trucks","2025-01-26T15:51:10.994073Z",14433,"/data/upload/2/b405d5ef-img_227.jpg",19.363,"2025-01-26T15:51:17.557742Z"

35,"1","No Trucks","2025-01-26T15:51:35.290985Z",14434,"/data/upload/2/380fcebf-img_228.jpg",6.37,"2025-01-26T15:51:35.291026Z"

36,"1","Trucks","2025-01-26T15:51:40.484801Z",14435,"/data/upload/2/997246ae-img_229.jpg",4.539,"2025-01-26T15:51:40.484823Z"

27,"1","Trucks","2025-01-26T15:49:17.815102Z",14426,"/data/upload/2/f78659c8-img_230.jpg",5.236,"2025-01-26T15:49:17.815169Z"

28,"1","Trucks","2025-01-26T15:49:23.767353Z",14427,"/data/upload/2/9422543b-img_231.jpg",5.204,"2025-01-26T15:49:23.767391Z"

37,"1","No Trucks","2025-01-26T15:51:54.663824Z",14436,"/data/upload/2/d12b611b-img_232.jpg",13.376,"2025-01-26T15:51:54.663873Z"

29,"1","No Trucks","2025-01-26T15:49:55.183356Z",14428,"/data/upload/2/d6481aa3-img_233.jpg",30.494,"2025-01-26T15:49:55.183396Z"

30,"1","No Trucks","2025-01-26T15:50:39.158262Z",14429,"/data/upload/2/252b0d4d-img_234.jpg",42.683,"2025-01-26T15:50:39.158301Z"

31,"1","No Trucks","2025-01-26T15:50:45.259487Z",14430,"/data/upload/2/d7869583-img_235.jpg",5.465,"2025-01-26T15:50:45.259512Z"

32,"1","Trucks","2025-01-26T15:50:49.766320Z",14431,"/data/upload/2/ebfa454d-img_236.jpg",3.748,"2025-01-26T15:50:49.766360Z"

38,"1","Trucks","2025-01-26T15:58:13.583844Z",14437,"/data/upload/2/d6a1012c-img_237.jpg",377.546,"2025-01-26T15:58:13.583895Z"

39,"1","Trucks","2025-01-26T15:58:22.410270Z",14438,"/data/upload/2/8b986431-img_238.jpg",7.788,"2025-01-26T15:58:22.410311Z"

40,"1","Trucks","2025-01-26T16:00:40.139850Z",14439,"/data/upload/2/d4ef25fa-img_239.jpg",136.363,"2025-01-26T16:00:40.139897Z"

