"annotation_id","annotator","choice","created_at","id","image","lead_time","updated_at"

141,"1","No Trucks","2025-01-26T16:27:36.611341Z",14563,"/data/upload/6/ae11fd43-img_220.jpg",17.016,"2025-01-26T16:27:36.611341Z"

142,"1","No Trucks","2025-01-26T16:27:46.008486Z",14564,"/data/upload/6/a037956d-img_221.jpg",6.59,"2025-01-26T16:27:46.008486Z"

143,"1","Trucks","2025-01-26T16:27:50.459711Z",14565,"/data/upload/6/ced06f52-img_222.jpg",3.051,"2025-01-26T16:27:50.459711Z"

144,"1","No Trucks","2025-01-26T16:27:56.147581Z",14566,"/data/upload/6/43bfe92e-img_223.jpg",4.293,"2025-01-26T16:27:56.147581Z"

145,"1","No Trucks","2025-01-26T16:28:04.651908Z",14567,"/data/upload/6/c96d6c29-img_224.jpg",4.702,"2025-01-26T16:28:04.651908Z"

146,"1","No Trucks","2025-01-26T16:28:13.203866Z",14568,"/data/upload/6/3cff5d16-img_225.jpg",6.728,"2025-01-26T16:28:13.203866Z"

147,"1","No Trucks","2025-01-26T16:28:27.477561Z",14569,"/data/upload/6/3f875a92-img_226.jpg",11.872,"2025-01-26T16:28:27.477561Z"

148,"1","No Trucks","2025-01-26T16:28:42.256853Z",14570,"/data/upload/6/777f5d47-img_227.jpg",13.385,"2025-01-26T16:28:42.256853Z"

149,"1","No Trucks","2025-01-26T16:28:53.989805Z",14571,"/data/upload/6/1e990760-img_228.jpg",10.466,"2025-01-26T16:28:53.989805Z"

150,"1","Trucks","2025-01-26T16:28:58.871439Z",14572,"/data/upload/6/611ab700-img_229.jpg",3.531,"2025-01-26T16:28:58.871439Z"

151,"1","Trucks","2025-01-26T16:29:04.837014Z",14573,"/data/upload/6/d4b7675c-img_230.jpg",2.961,"2025-01-26T16:29:04.837014Z"

152,"1","Trucks","2025-01-26T16:29:15.016338Z",14574,"/data/upload/6/cbff2e9e-img_231.jpg",8.128,"2025-01-26T16:29:15.016338Z"

153,"1","No Trucks","2025-01-26T16:29:21.275973Z",14575,"/data/upload/6/475af12b-img_232.jpg",4.798,"2025-01-26T16:29:21.275973Z"

154,"1","No Trucks","2025-01-26T16:29:29.577938Z",14576,"/data/upload/6/e0fb7a5a-img_233.jpg",4.79,"2025-01-26T16:29:29.577938Z"

155,"1","No Trucks","2025-01-26T16:29:35.016523Z",14577,"/data/upload/6/479f531d-img_234.jpg",4.086,"2025-01-26T16:29:35.016523Z"

156,"1","No Trucks","2025-01-26T16:29:42.245149Z",14578,"/data/upload/6/9a1c8245-img_235.jpg",4.807,"2025-01-26T16:29:42.245149Z"

157,"1","Trucks","2025-01-26T16:31:13.871537Z",14579,"/data/upload/6/fe0789ff-img_236.jpg",90.289,"2025-01-26T16:31:13.871537Z"

158,"1","Trucks","2025-01-26T16:31:27.586699Z",14580,"/data/upload/6/54aa076b-img_237.jpg",4.522,"2025-01-26T16:31:27.586699Z"

159,"1","Trucks","2025-01-26T16:31:39.047065Z",14581,"/data/upload/6/1a973a39-img_238.jpg",9.572,"2025-01-26T16:31:39.047065Z"

160,"1","No Trucks","2025-01-26T16:31:45.855640Z",14582,"/data/upload/6/8fc976ff-img_239.jpg",4.812,"2025-01-26T16:31:45.855640Z"

